Filename,Attribution,"People
(Counted)","Obscured People
(Not counted)"
29756247192_f8b5ec115b_b.jpg,"People"" by Tabsner is licensed under CC BY-SA 2.0 """,3,0
29756013612_0018b057d8_b.jpg,"People"" by Tabsner is licensed under CC BY-SA 2.0 """,1,0
29575993250_f5b6d20b7e_b.jpg,"People"" by Tabsner is licensed under CC BY-SA 2.0 """,1,0
29243394393_889afb2fc7_b.jpg,"People"" by Tabsner is licensed under CC BY-SA 2.0 """,1,0
47764429062_8c19a19cd1_b.jpg,"Trent Peoples"" by NAPARAZZI is licensed under CC BY-SA 2.0 """,3,0
3263304224_621f36f98b.jpg,"Wedding Phil & Doris Roth"" by ND Strupler is licensed under CC BY 2.0 """,4,0
34076077526_52424445c7_b.jpg,"Peoples"" by Miroslav Vajdić is licensed under CC BY-SA 2.0 """,2,0
7615376474_a1ee370bdb_b.jpg,"ROBERTS_K_People_16"" by sprout_creative is licensed under CC BY 2.0 """,2,0
3596809737_794d7fc6e0_b.jpg,"Series"" by FunGi_ (Trading) is licensed under CC BY-SA 2.0 """,1,0
2591200850_96bef08d29.jpg,"Wlodek Duch"" by jeriaska is licensed under CC BY 2.0 """,1,5
3354172257_a48ba3d1d8_b.jpg,"Dana and Jason"" by Lachlan Hardy is licensed under CC BY 2.0 """,2,4
6708591927_7f13bf84a0_b.jpg,"Drum Party"" by the great 8 is licensed under CC BY 2.0 """,0,0
32701657536_8a0d9e157f_b.jpg,"_HIP9345"" by universityof.wolverhampton is licensed under CC BY 2.0 """,3,1
31928213423_090ec29bcf_b.jpg,"_HIP9878"" by universityof.wolverhampton is licensed under CC BY 2.0 """,4,2
32742378405_3ecc8cc958_b.jpg,"_HIP9716"" by universityof.wolverhampton is licensed under CC BY 2.0 """,6,0
31899210544_c8303deeb8_b.jpg,"_HIP9262"" by universityof.wolverhampton is licensed under CC BY 2.0 """,2,0
3607003940_34cfceb43b.jpg,"Panel Discussion"" by SportBusiness is licensed under CC BY 2.0 """,1,1
25751294956_fa3ee87fb8_b.jpg,"Grand Live Malta March 2016"" by Paf - games sport casino is licensed under CC BY 2.0 """,4,6
23658935444_malamute.jpg,"File:Grupp 5 ALASKAN MALAMUTE Malamaison Its All True (23658935444).jpg"" by Томасина is licensed under CC BY 2.0 """,1,0
Sitting_malamute_puppy.jpg,"File:Sitting malamute puppy.JPG"" by Daniel Piil~commonswiki is licensed under CC BY-SA 3.0 """,0,1
9480259864_3d7d610e11_b.jpg,"Motocross World Championship"" by isapisa is licensed under CC BY-SA 2.0 """,3,1
48127378811_b7ceaa4858_b.jpg,"bear-11524406461ryqr3o5ec3"" by TopPNG-com is licensed under CC PDM 1.0 """,0,0
26795765640_2aac096e05_b.jpg,"Red Panda bear"" by watts_photos is licensed under CC BY 2.0 """,0,0
18611133536_534285f26d_b.jpg,"this group together blows my mind"" by Francesca Russell is licensed under CC BY 2.0 """,26,0
14986165665_00d6b5ea1b_z.jpg,"2014 US Open (Tennis) - Qualifying Rounds - Juan Ignacio Londero"" by Steven Pisano is licensed under CC BY 2.0 """,1,0
2455110397_757dfec324_z.jpg,"People"" by formatc1 is licensed under CC BY-SA 2.0 """,1,0
14920793105_74c19b981f_z.jpg,"Black bear"" by CaliforniaDFW is licensed under CC BY 2.0 """,0,0
29869572955_0b59d43c55_z.jpg ,"People"" by Tabsner is licensed under CC BY-SA 2.0 """,1,0
36949889492_c946a8bddc_z.jpg,"DSC00544"" by TheTechDave is licensed under CC BY 2.0 """,0,0